Process (Title),Process description,Risk ID,Risk Owner,Risk(Title),Risk Description,Risk Category 1,Risk Category 2,Risk Category 3,Associated KRIs,I,L,Control ID,Control Owner,Control (Title),Control Description,Control Activity,Control Type,Control Frequency,DE & OE?,Commentary on DE & OE assessment,I,L,Commentary on Net Risk Assessment,Risk Decision,Issue Description (if applicable),Action Description,Action Owner,Action Due Date,Completion Date,Action ID
Made up process 1,Description 1,AP-P01-R01,John Doe,Risk Title 1,Risk 1,Operational Risk,Business Change,Business Process Change,n/a,4,3,CID-01,John Doe,Effective Compliance Framework ,"Control 1
",M,Dir  ,Quarterly,Y,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Accept,,,,,,
Made up process 1,Description 1,AP-P01-R01,John Doe,Risk Title 1,Risk 1,Operational Risk,Business Change,Business Process Change,n/a,,,CID-01,John Doe,Effective Compliance Framework ,"Control 2
",M,Dir  ,Quarterly,Y,Control is  adequately designed and operating effectively.,,,This has taken into account the adequacy and effectiveness of the controls identified.,Accept,,,,,,
made up process 2,Description 2,AP-P02-R02,John Doe,Risk Title 2,Risk 2,Operational Risk,Business Continuity & Disaster Recovery,Disaster & Other Events,n/a,4,3,CID-02,John Doe,Data inventory and third party  processing ,"Control 2
",M,P,Annual,Y,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Mitiogate,An action,A description,jane Doe,12/12/2021,,A001
made up process 3,Description 3,AP-P03-R03,John Doe,Risk Title 3,Risk 3,Operational Risk,Business Continuity & Disaster Recovery,Disaster & Other Events,n/a,4,3,CID-03,John Doe,Effective Data Privacy Policies and Training,"Control 3
",M,Dir  ,Annual,Y,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Accept,,,,,,
Made up process 4,Description 4,AP-P01-R04,John Doe,Risk Title 4,Risk 4,Operational Risk,Financial Crime Risk,Unauthorised Activity by Internal Staff,Data Losses to Regulator / Non Reportable Data Protection Incidents,4,3,CID-04,John Doe,Effective Data Breach Management,"Control 4
",M,D  ,Daily,N,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Accept,,,,,,
Made up process 5,Description 5,BP-P01-R01,Jane Doe,Risk Title 5,Risk 5,Operational Risk,Financial Crime Risk,Internal Theft & Fraud,Data Losses to Regulator / Non Reportable Data Protection Incidents,4,3,CID-05,Jane Doe,Effective Data Breach Management,"Control 5
",M,D  ,Daily,N,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Mitiogate,,,,,,
Made up process 6,Description 6,BP-P01-R02,Jane Doe,Risk Title 6,Risk 6,Operational Risk,Financial Crime Risk,External Fraud,n/a,4,3,CID-06,Jane Doe,Appropriate Data Privacy Procedures and systems,"Control 6
",M,Dir  ,Daily,N,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Mitigate,,,,,,
Made up process 7,Description 7,BP-P01-R03,Jane Doe,Risk Title 7,Risk 7,Operational Risk,Financial Crime Risk,Anti-Money Laundering,n/a,4,3,CID-07,Jane Doe,Appropriate Data Privacy Compliance Guidance,"Control 7
",M,P,Monthly,Y,Control is  adequately designed and operating effectively.,3,2,This has taken into account the adequacy and effectiveness of the controls identified.,Mitiogate,,,,,,
Made up process 8,Description 8,BP-P01-R04,Jane Doe,Risk Title 8,Risk 8,Operational Risk,Financial Crime Risk,Sanctions,n/a,3,5,CID-08,Jane Doe,Dedicated BA Role,"Control 8
",M,P,Daily,Y,Control is  adequately designed and operating effectively.,2,2,This has taken into account the adequacy and effectiveness of the controls identified.,Mitiogate,,,,,,
Made up process 9,Description 9,BP-P01-R05,Jane Doe,Risk Title 9,Risk 9,Operational Risk,Financial Crime Risk,Anti-Bribery & Corruption,n/a,4,5,CID-09,Jane Doe,Experienced Employees,"Control 9
",M,P,Daily,Y,Control is  adequately designed and operating effectively.,2,2,This has taken into account the adequacy and effectiveness of the controls identified.,Accept,,,,,,
